rebalance_date,bucket,instrument_id,tilt_weight,target_weight_manual,executed_weight_manual,target_weight_db
2020-03-06,CASH,000602.OF,1.0,0.08044442817222563,0.08044442817222563,0.08044442817222563
2020-03-06,CYCLE,004195.OF,0.4814970396218229,0.0,0.0,0.0
2020-03-06,CYCLE,164304.OF,0.2865488807647323,0.0,0.0,0.0
2020-03-06,CYCLE,690008.OF,0.23195407961344486,0.0,0.0,0.0
2020-03-06,GOLD,004253.OF,1.0,0.0,0.0,0.0
2020-03-06,GROWTH,002236.OF,0.8767073164688955,0.0,0.0,0.0
2020-03-06,GROWTH,004409.OF,0.04545912653926463,0.0,0.0,0.0
2020-03-06,GROWTH,004744.OF,0.07783355699183986,0.0,0.0,0.0
2020-03-06,RATE,003377.OF,1.0,0.9195555718277744,0.9195555718277744,0.9195555718277744
2020-03-06,VALUE,000312.OF,0.10200744259402647,0.0,0.0,0.0
2020-03-06,VALUE,003194.OF,0.6031675129133255,0.0,0.0,0.0
2020-03-06,VALUE,005562.OF,0.29482504449264807,0.0,0.0,0.0
