rebalance_date,instrument_id,signal_name,value,bucket_id
2020-03-06,000312.OF,tilt_score,-0.9998990656028015,VALUE
2020-03-06,000312.OF,tilt_weight,0.10200744259402647,VALUE
2020-03-06,000602.OF,tilt_score,0.0,CASH
2020-03-06,000602.OF,tilt_weight,1.0,CASH
2020-03-06,002236.OF,tilt_score,0.9786278577318421,GROWTH
2020-03-06,002236.OF,tilt_weight,0.8767073164688955,GROWTH
2020-03-06,003194.OF,tilt_score,-0.3778968525640898,VALUE
2020-03-06,003194.OF,tilt_weight,0.6031675129133255,VALUE
2020-03-06,003377.OF,tilt_score,0.0,RATE
2020-03-06,003377.OF,tilt_weight,1.0,RATE
2020-03-06,004195.OF,tilt_score,0.7770700298778338,CYCLE
2020-03-06,004195.OF,tilt_weight,0.4814970396218229,CYCLE
2020-03-06,004253.OF,tilt_score,0.0,GOLD
2020-03-06,004253.OF,tilt_weight,1.0,GOLD
2020-03-06,004409.OF,tilt_score,-0.05714800213344914,GROWTH
2020-03-06,004409.OF,tilt_weight,0.04545912653926463,GROWTH
2020-03-06,004744.OF,tilt_score,0.13106766802103909,GROWTH
2020-03-06,004744.OF,tilt_weight,0.07783355699183986,GROWTH
2020-03-06,005562.OF,tilt_score,-0.6284313488226269,VALUE
2020-03-06,005562.OF,tilt_weight,0.29482504449264807,VALUE
2020-03-06,164304.OF,tilt_score,0.5954231981175366,CYCLE
2020-03-06,164304.OF,tilt_weight,0.2865488807647323,CYCLE
2020-03-06,690008.OF,tilt_score,0.5214437976165671,CYCLE
2020-03-06,690008.OF,tilt_weight,0.23195407961344486,CYCLE
2020-03-06,CASH,f_sigma,1.0,CASH
2020-03-06,CASH,gate_state,0.0,CASH
2020-03-06,CASH,path_quality_g,1.0,CASH
2020-03-06,CASH,raw_weight_component_f_sigma,1.0,CASH
2020-03-06,CASH,raw_weight_component_gate,0.0,CASH
2020-03-06,CASH,raw_weight_component_inv_sigma_eff,1.0,CASH
2020-03-06,CASH,raw_weight_component_path_quality,1.0,CASH
2020-03-06,CASH,raw_weight_component_risk_budget,1.0,CASH
2020-03-06,CASH,raw_weight_component_trend,0.0,CASH
2020-03-06,CASH,sigma_eff,1.0,CASH
2020-03-06,CASH,T,0.0,CASH
2020-03-06,CYCLE,f_sigma,0.9991116531910061,CYCLE
2020-03-06,CYCLE,gate_state,0.0,CYCLE
2020-03-06,CYCLE,path_quality_g,0.0,CYCLE
2020-03-06,CYCLE,raw_weight_component_f_sigma,0.9991116531910061,CYCLE
2020-03-06,CYCLE,raw_weight_component_gate,0.0,CYCLE
2020-03-06,CYCLE,raw_weight_component_inv_sigma_eff,3.3616378748168994,CYCLE
2020-03-06,CYCLE,raw_weight_component_path_quality,0.0,CYCLE
2020-03-06,CYCLE,raw_weight_component_risk_budget,1.0,CYCLE
2020-03-06,CYCLE,raw_weight_component_trend,-0.045638004150089895,CYCLE
2020-03-06,CYCLE,sigma_eff,0.29747404010744843,CYCLE
2020-03-06,CYCLE,T,-0.045638004150089895,CYCLE
2020-03-06,GOLD,f_sigma,0.9997238921742592,GOLD
2020-03-06,GOLD,gate_state,0.0,GOLD
2020-03-06,GOLD,path_quality_g,0.33145095601226604,GOLD
2020-03-06,GOLD,raw_weight_component_f_sigma,0.9997238921742592,GOLD
2020-03-06,GOLD,raw_weight_component_gate,0.0,GOLD
2020-03-06,GOLD,raw_weight_component_inv_sigma_eff,5.538456953143365,GOLD
2020-03-06,GOLD,raw_weight_component_path_quality,0.33145095601226604,GOLD
2020-03-06,GOLD,raw_weight_component_risk_budget,1.0,GOLD
2020-03-06,GOLD,raw_weight_component_trend,0.20979450361548496,GOLD
2020-03-06,GOLD,sigma_eff,0.180555705038467,GOLD
2020-03-06,GOLD,T,0.20979450361548496,GOLD
2020-03-06,GROWTH,f_sigma,0.9979366950758912,GROWTH
2020-03-06,GROWTH,gate_state,0.0,GROWTH
2020-03-06,GROWTH,path_quality_g,0.17595865488721898,GROWTH
2020-03-06,GROWTH,raw_weight_component_f_sigma,0.9979366950758912,GROWTH
2020-03-06,GROWTH,raw_weight_component_gate,0.0,GROWTH
2020-03-06,GROWTH,raw_weight_component_inv_sigma_eff,2.6187476443127817,GROWTH
2020-03-06,GROWTH,raw_weight_component_path_quality,0.17595865488721898,GROWTH
2020-03-06,GROWTH,raw_weight_component_risk_budget,1.0,GROWTH
2020-03-06,GROWTH,raw_weight_component_trend,0.2770799049524298,GROWTH
2020-03-06,GROWTH,sigma_eff,0.38186191868152397,GROWTH
2020-03-06,GROWTH,T,0.2770799049524298,GROWTH
2020-03-06,RATE,f_sigma,0.9999479666098465,RATE
2020-03-06,RATE,gate_state,1.0,RATE
2020-03-06,RATE,path_quality_g,1.0,RATE
2020-03-06,RATE,rate_pref,0.9195555718277744,RATE
2020-03-06,RATE,raw_weight_component_f_sigma,0.9999479666098465,RATE
2020-03-06,RATE,raw_weight_component_gate,1.0,RATE
2020-03-06,RATE,raw_weight_component_inv_sigma_eff,73.29921577828794,RATE
2020-03-06,RATE,raw_weight_component_path_quality,1.0,RATE
2020-03-06,RATE,raw_weight_component_risk_budget,1.0,RATE
2020-03-06,RATE,raw_weight_component_trend,1.2181619332272213,RATE
2020-03-06,RATE,sigma_eff,0.013642710762755682,RATE
2020-03-06,RATE,T,1.2181619332272213,RATE
2020-03-06,RATE,T_RATE,1.2181619332272213,RATE
2020-03-06,VALUE,f_sigma,0.9994942812101268,VALUE
2020-03-06,VALUE,gate_state,0.0,VALUE
2020-03-06,VALUE,path_quality_g,0.4057531755391388,VALUE
2020-03-06,VALUE,raw_weight_component_f_sigma,0.9994942812101268,VALUE
2020-03-06,VALUE,raw_weight_component_gate,0.0,VALUE
2020-03-06,VALUE,raw_weight_component_inv_sigma_eff,4.147697771794358,VALUE
2020-03-06,VALUE,raw_weight_component_path_quality,0.4057531755391388,VALUE
2020-03-06,VALUE,raw_weight_component_risk_budget,1.0,VALUE
2020-03-06,VALUE,raw_weight_component_trend,-0.02517402164004544,VALUE
2020-03-06,VALUE,sigma_eff,0.24109760523062038,VALUE
2020-03-06,VALUE,T,-0.02517402164004544,VALUE
